### BDSIM output created Mon Jun 24 15:22:44 2013
 ####
# PT E[GeV] X[mum] Y[mum] Z[m] Xp[rad] Yp[rad]  
2212 450 36982.4 414087 198.897 -0.000573406 0.00290273
2212 450 36982.4 414087 198.897 -0.000573406 0.00290273
2212 450 36982.4 414087 198.897 -0.000573406 0.00290273
2212 450 36982.4 414087 198.897 -0.000573406 0.00290273
2212 450 36982.4 414087 198.897 -0.000573406 0.00290273
2212 450 36982.4 414087 198.897 -0.000573406 0.00290273
2212 450 36982.4 414087 198.897 -0.000573406 0.00290273
2212 450 36982.4 414087 198.897 -0.000573406 0.00290273
2212 450 36982.4 414087 198.897 -0.000573406 0.00290273
2212 450 36982.4 414087 198.897 -0.000573406 0.00290273
2212 450 36982.4 414087 198.897 -0.000573406 0.00290273
2212 450 36982.4 414087 198.897 -0.000573406 0.00290273
2212 450 36982.4 414087 198.897 -0.000573406 0.00290273
2212 450 36982.4 414087 198.897 -0.000573406 0.00290273
2212 450 36982.4 414087 198.897 -0.000573406 0.00290273
2212 450 36982.4 414087 198.897 -0.000573406 0.00290273
2212 450 36982.4 414087 198.897 -0.000573406 0.00290273
2212 450 36982.4 414087 198.897 -0.000573406 0.00290273
2212 450 36982.4 414087 198.897 -0.000573406 0.00290273
2212 450 36982.4 414087 198.897 -0.000573406 0.00290273
2212 450 36982.4 414087 198.897 -0.000573406 0.00290273
2212 450 36982.4 414087 198.897 -0.000573406 0.00290273
2212 450 36982.4 414087 198.897 -0.000573406 0.00290273
2212 450 36982.4 414087 198.897 -0.000573406 0.00290273
2212 450 36982.4 414087 198.897 -0.000573406 0.00290273
2212 450 36982.4 414087 198.897 -0.000573406 0.00290273
2212 450 36982.4 414087 198.897 -0.000573406 0.00290273
2212 450 36555.2 416249 199.642 -0.000573406 0.00290273
2212 450 22069.2 489581 224.905 -0.000573406 0.00290273
2212 450 21553.1 492194 225.805 -0.000573406 0.00290273
2212 450 21553.1 492194 225.805 -0.000573406 0.00290273
2212 450 21553.1 492194 225.805 -0.000573406 0.00290273
2212 450 21553.1 492194 225.805 -0.000573406 0.00290273
2212 450 21553.1 492194 225.805 -0.000573406 0.00290273
2212 450 21553.1 492194 225.805 -0.000573406 0.00290273
2212 450 21553.1 492194 225.805 -0.000573406 0.00290273
2212 450 21553.1 492194 225.805 -0.000573406 0.00290273
2212 450 21553.1 492194 225.805 -0.000573406 0.00290273
2212 450 21553.1 492194 225.805 -0.000573406 0.00290273
2212 450 21553.1 492194 225.805 -0.000573406 0.00290273
2212 450 21553.1 492194 225.805 -0.000573406 0.00290273
2212 450 21553.1 492194 225.805 -0.000573406 0.00290273
2212 450 21553.1 492194 225.805 -0.000573406 0.00290273
2212 450 21553.1 492194 225.805 -0.000573406 0.00290273
2212 450 21553.1 492194 225.805 -0.000573406 0.00290273
2212 450 21443 492751 225.997 -0.000573406 0.00290273
2212 450 18263.5 508847 231.542 -0.000573406 0.00290273
2212 450 4172.56 580179 256.116 -0.000573406 0.00290273
2212 450 2638.69 587944 258.791 -0.000573406 0.00290273
2212 450 2638.69 587944 258.791 -0.000573406 0.00290273
2212 450 2638.69 587944 258.791 -0.000573406 0.00290273
2212 450 2638.69 587944 258.791 -0.000573406 0.00290273
2212 450 2638.69 587944 258.791 -0.000573406 0.00290273
2212 450 1939.13 591485 260.011 -0.000573406 0.00290273
2212 450 -10.4542 601354 263.411 -0.000573406 0.00290273
2212 450 -10.4542 601354 263.411 -0.000573406 0.00290273
2212 450 -10.4543 601354 263.411 -0.000573406 0.00290273
